name,x,y,class,inf
8001,0.587722498,1.133302547,2,1
27653,0.55081874,9.348263109,2,0
1960,8.570987682,3.851408843,2,0
22983,0.258640715,54.38060334,2,0
1153,4.45548257,23.35343298,2,0
685194,12.22898003,9.897818722,0,0
10251,2.271167104,16.00616816,2,0
754060,29.58027901,14.03862639,0,0
942733,42.81327264,20.77941027,1,0
4558,21.5716158,10.27760767,0,0
560463,9.199506168,14.24519139,2,0
31096,11.95691484,4.35291679,0,0
29077,2.745117156,13.01903558,2,0
566680,7.64702376,10.46805729,2,0
558105,0.542983871,8.506903336,2,0
14488,9.413426543,13.99700561,2,0
28253,5.814801635,20.69922252,2,0
28510,16.33633165,17.72535136,0,0
559776,0.529023958,13.16367625,2,0
560866,0.503717427,15.63582541,2,0
554747,0.527655399,13.30614623,2,0
2341,7.681854888,4.173728725,2,0
5990,0.491325911,17.86035985,2,0
557738,12.99418921,10.36943731,0,0
1021510,0.556854876,9.417800726,2,0
5853,1.898237751,5.655403759,2,0
23856,1.883380898,5.219004932,2,0
2931,8.26576944,3.978572318,2,0
8180,2.04538555,6.053567901,2,0
29365,22.0412262,14.38120101,0,0
9144,0.507779755,13.75508991,2,0
22905,3.086185676,27.62470643,2,0
677627,20.53948817,17.61772367,0,0
4426,21.67538266,11.01798843,0,0
2878,13.59589639,9.304489911,0,0
6783,0.532387569,12.00377665,2,0
6248,0.534113345,13.27377689,2,0
LiLa(TiO3)2,20.35926384,2.595333333,0,1
LiLa(TiO3)2,49.0758642,31.79777092,1,1
Li10.35Si1.35P1.65S12,46.30558324,30.03639292,1,1
Li10Ge(PS6)2,49.08340789,30.52481153,1,1
Li3P,7.579862269,21.52099022,2,1
Li4BN3H10,32.10131023,8.119610283,0,1
Li6FeC18,50.39541759,42.63911179,1,1
Li7La3Zr2O12,103.487483,27.35569642,3,1
Li7P3S11,16.39122122,37.91561233,0,1
LiNH2,5.492721775,1.115096404,2,0
Li6BaLa2Ta2O12,55.94566443,17.3251791,1,0
betaII-Li3VO4,12.39318013,10.62010127,0,0
Li2Ge7O15,0.554684772,11.35817696,2,0
gama-Li4GeO4,47.23232847,15.68624255,1,0
Li4B7O12Cl,46.30253209,11.66120698,1,0
gama-Li3PS4,5.620912966,52.90672624,2,0
Li6CaLa2Ta2O12,55.96249331,15.27769847,1,0
Li3Sc2P3O12,21.06643397,50.54728576,0,0
LiBH4,1.92375443,2.831997533,2,0
Li5La3Bi2O12,120,32.59632636,3,0
Li15Ge3V2O4,113.7749319,22.344743,3,0
alpha-LiZr2P3O12,4.522825448,15.44812137,2,0
Li3Fe2P3O12,21.09213003,45.78386843,0,0
LiAlH4,0.320369066,44.4470284,2,0
Li14ZnGe4O16,95.47412538,20.11710142,3,0
Li12Ga4Ge4O20,13.13737585,11.78375071,0,2
