name,DT,RF,KNN,LR,SVM
Cs3Li3H12N6,0,0,0,1,0
Rb12Li2Nd22Se24Cl32O72,1,1,0,1,0
Li4Ga4S8,1,0,0,0,0
Cs1K1Na2Li12Si4O16,0,0,1,0,0
Sr8Li4C4Br12N8,0,1,0,1,0
Li1Er1Se2,0,0,0,1,0
Li2Si1Sn1S4,1,0,0,0,0
Li1Dy1Se2,0,0,0,1,0
Li1Ho1Se2,0,0,0,1,0
Rb2Li14Pb3O14,0,0,1,0,0
Cs4Li2As2O8,1,0,0,0,0
Li40Al8O32,1,0,0,0,0
Li1Er1S2,1,0,0,1,0
Li1Tb1Se2,0,0,0,1,0
Li40Ga8O32,1,0,0,0,0
Li2Mg2B6H36N4,1,0,0,0,0
K8Li4B4P8O32,0,0,0,1,0
Sr4Li16Ca4Si8O32,1,1,0,0,0
Li8Te4O12,1,0,0,1,0
Rb4Li2Ga2F12,1,0,0,0,0
Li4B4S10,1,0,0,0,0
Li4Mg2Cl8,1,0,0,0,0
Li8H4I4O4,1,0,0,0,0
Cs4Li6Ga2O8,1,1,0,0,0
Li2Bi6Br4O8,1,0,0,0,0
Cs4Li4F8,1,0,0,0,0
Li2Bi6Cl4O8,1,0,0,0,0
K2Li14Pb3O14,0,0,1,0,0
Li2La4Sb2O12,0,0,0,1,0
Li1Ho1S2,1,0,0,1,0
Cs4K1Li1Ga2F12,1,0,0,0,0
Rb12Li2Pr22Se24Cl32O72,1,1,0,1,0
Rb1Na3Li12Si4O16,0,0,1,0,0
Li1Dy1S2,1,0,0,1,0
